序号,型号,厂牌,封装,描述,库存,起订量,价格梯度,中国香港交货,内地交货(含增值税),货期
1,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",1020,N/A,1+ ￥10.0769 | 10+ ￥8.5094 | 30+ ￥6.72 | 100+ ￥6.44 | 500+ ￥5.87,N/A,1+ ￥10.0769 | 10+ ￥8.5094 | 30+ ￥6.72 | 100+ ￥6.44 | 500+ ￥5.87,1工作日
2,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",856,N/A,100+ ￥7.0032 | 150+ ￥6.7773 | 200+ ￥6.6643,N/A,100+ ￥7.0032 | 150+ ￥6.7773 | 200+ ￥6.6643,3-7工作日
3,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",1580,N/A,1000+ ￥7.32 | 2000+ ￥7.08 | 3000+ ￥6.9,N/A,1000+ ￥7.32 | 2000+ ￥7.08 | 3000+ ￥6.9,12-16工作日
4,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",2570,N/A,1000+ ￥22.8558,N/A,1000+ ￥22.8558,8-13工作日
5,LIS331DLH,STMicroelectronics,LGA-16,񞦆󬺚Hz~󬺚򫋇򫋇Hz 󐤏򫋇򫋇򫋇(±񞦆g)~񞦆󬺚󅆟(±𫇊g)(LSB/g) I²C，SPI 񞦆𒑕󐤏󅆟V 򚨿𒑕󅆟V X轴，Y轴，Z轴 ±񞦆g，񕌘g，𫇊g LGA-󐤏󅆟 贴片安装 򚨿mm*򚨿mm*󐤏mm,10,N/A,10+ ￥7.32 | 50+ ￥7.08 | 100+ ￥6.96 | 200+ ￥6.9,N/A,10+ ￥7.32 | 50+ ￥7.08 | 100+ ￥6.96 | 200+ ￥6.9,3-7工作日
6,LIS331DLHTR,ST,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",1090,N/A,100+ ￥14.8915 | 500+ ￥13.9564 | 1000+ ￥13.5372,100+ $1.7582 | 500+ $1.6478 | 1000+ $1.5983,100+ ￥14.8915 | 500+ ￥13.9564 | 1000+ ￥13.5372,7-9工作日
7,LIS331DLHTR,ST(意法半导体),LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",1018,N/A,100+ ￥16.2954 | 500+ ￥15.2714 | 1000+ ￥14.8115,100+ $1.9239 | 500+ $1.803 | 1000+ $1.7487,100+ ￥16.2954 | 500+ ￥15.2714 | 1000+ ￥14.8115,4周
8,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",44000,N/A,4000+ ￥29.9393,4000+ $3.5348,4000+ ￥29.9393,12-14工作日
9,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",24000,N/A,4000+ ￥13.5545,4000+ $1.6311,4000+ ￥13.5545,8-18工作日
10,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",24000,N/A,4000+ ￥15.9778,4000+ $1.8864,4000+ ￥15.9778,12-18工作日
11,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",4000,N/A,4000+ ￥15.0661 | 12000+ ￥14.9456 | 40000+ ￥14.8251,4000+ $1.7663 | 12000+ $1.7521 | 40000+ $1.738,4000+ ￥15.0661 | 12000+ ￥14.9456 | 40000+ ￥14.8251,7-14工作日
12,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",2467,N/A,1000+ ￥19.0626,N/A,1000+ ￥19.0626,7-13工作日
13,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",1612,N/A,1+ ￥24.0525 | 5+ ￥21.5157 | 10+ ￥19.3547 | 50+ ￥17.7044 | 100+ ￥16.7648,1+ $2.944 | 5+ $2.6335 | 10+ $2.369 | 50+ $2.167 | 100+ $2.052,1+ ￥24.0525 | 5+ ￥21.5157 | 10+ ￥19.3547 | 50+ ￥17.7044 | 100+ ￥16.7648,7-14工作日
14,LIS331DLHTR,ST MICROELECTRONICS,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",4000,N/A,4000+ ￥17.0775,4000+ $2.07,4000+ ￥17.0775,10-15工作日
15,LIS331DLHTR,ST MICROELECTRONICS,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",56000,N/A,4000+ ￥20.3981,4000+ $2.4725,4000+ ￥20.3981,8-12工作日
16,LIS331DLHTR,ST MICROELECTRONICS,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",59,N/A,15+ ￥29.1266 | 100+ ￥27.1343 | 400+ ￥25.806 | 2000+ ￥24.0983,15+ $3.5305 | 100+ $3.289 | 400+ $3.128 | 2000+ $2.921,15+ ￥29.1266 | 100+ ￥27.1343 | 400+ ￥25.806 | 2000+ ￥24.0983,10-15工作日
17,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",2570,N/A,1000+ ￥21.1807,N/A,1000+ ￥21.1807,7-13工作日
18,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",2570,N/A,1000+ ￥22.7775,1000+ $2.7609,1000+ ￥22.7775,7-12工作日
19,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",2570,N/A,4000+ ￥22.817,N/A,4000+ ￥22.817,7-13工作日
20,LIS331DLHTR,STMicroelectronics,LGA-16,"意法半导体, 加速度计, 表面贴装, 򚨿轴, 最高工作温度+𫇊󬺚 °C",2570,N/A,4000+ ￥24.2338 | 20000+ ￥23.7487,4000+ $2.9374 | 20000+ $2.8786,4000+ ￥24.2338 | 20000+ ￥23.7487,7-12工作日
